,Faculty link
0,http://www.autaugaacademy.com/information/staff.cfm
1,https://www.autaugavilleschool.com/schoolstaff
2,https://www.bsk12.net/schoolfaculty
3,https://4pca.org/staff/
4,https://www.gophslions.com/staff
5,https://www.marburyhighschool.org/facultyandstaff
6,https://www.bcbe.org/domain/7590
7,https://bayshorechristian.org/about/faculty-and-staff/
8,https://www.bcbe.org/domain/7607
9,https://www.bcbe.org/domain/7244
10,https://www.bcbe.org/domain/7268
11,https://www.bcbe.org/domain/7212
12,https://www.gsboe.org/gshs/school-directory
13,https://www.bcbe.org/domain/7018
14,https://www.bcbe.org/domain/7365
15,https://bchs.barbourcountyschools.org/staffdirectory
16,https://bchs.barbourcountyschools.org/staffdirectory
17,https://www.eufaulacityschools.org/domain/158
18,http://vivianbadams.net/faculty-and-staff/
19,https://www.lakesidechiefs.net/about/adminstration.cfm
20,https://sites.google.com/a/bibbcountychoctaws.com/bchs/administration
21,https://westbloctonhighschool.com/contact-us/
22,http://www.appalachianeagles.com/staff_directory
23,http://www.clevelandhighschool.net/staff_directory
24,http://www.haydenhigh.net/staff_directory
25,http://blcsjbphs.ss19.sharpschool.com/staff_directory
26,http://blcslfhs.ss19.sharpschool.com/about_us/contact_school
27,https://www.oneontacityschools.com/domain/412
28,http://www.susanmoorebulldogs.com/staff_directory
29,https://bchsbullockal.schoolinsites.com/staff#
30,https://www.butlerco.k12.al.us/domain/2100
31,https://www.butlerco.k12.al.us/domain/26
32,https://www.butlerco.k12.al.us/domain/2089
33,https://www.calhoun.k12.al.us/directorylist/directory.cfm?CFID=2509093&CFTOKEN=72a2ee876f9ee9ee-D75E8DEB-D6E5-D530-70906843163A3BD0
34,https://www.annistonschools.com/domain/81
35,https://www.jcsboe.org/domain/47
36,http://jcathunder.com/contact-us/
37,https://www.calhouncountyschools.com/domain/1745
38,https://www.oxfordcityschools.com/domain/671
39,https://www.piedmonthigh.org/schoolstaff
40,https://al01901382.schoolwires.net/site/Default.aspx?PageType=1&SiteID=14&ChannelID=427&DirectoryType=6
41,https://sakshighschool.wixsite.com/saks
42,https://al01901382.schoolwires.net/site/Default.aspx?PageType=1&SiteID=21&ChannelID=804&DirectoryType=6
43,https://al01901382.schoolwires.net/site/Default.aspx?PageType=1&SiteID=19&ChannelID=665&DirectoryType=6
