date,open,high,low,close,volume,Name
2013-02-08,28.89,29.17,28.51,28.545,37662614,FB
2013-02-11,28.61,28.68,28.04,28.26,36979533,FB
2013-02-12,27.67,28.16,27.1,27.37,93417215,FB
2013-02-13,27.36,28.32,27.31,27.9075,50100805,FB
2013-02-14,28.02,28.63,28.01,28.5,35581045,FB
2013-02-15,28.52,28.75,28.09,28.32,33061895,FB
2013-02-19,28.23,29.08,28.12,28.93,49356691,FB
2013-02-20,28.92,29.05,28.33,28.462,42046417,FB
2013-02-21,28.28,28.55,27.15,27.283,49593513,FB
2013-02-22,27.62,27.63,26.82,27.13,36299386,FB
2013-02-25,27.16,27.64,27.15,27.27,34559101,FB
2013-02-26,27.36,27.46,26.7,27.39,31585238,FB
2013-02-27,27.34,27.34,26.63,26.87,44266586,FB
2013-02-28,26.84,27.3,26.34,27.25,82980886,FB
2013-03-01,27.05,28.1164,26.81,27.78,54040282,FB
2013-03-04,27.76,28.06,27.44,27.72,32377922,FB
2013-03-05,27.88,28.18,27.21,27.52,40193063,FB
2013-03-06,28.1,28.13,27.35,27.4525,33481681,FB
2013-03-07,27.57,28.675,27.47,28.578,74454860,FB
2013-03-08,28.425,28.47,27.73,27.96,44167632,FB
2013-03-11,28.01,28.64,27.83,28.14,35593143,FB
2013-03-12,28.1,28.32,27.6,27.83,27509183,FB
2013-03-13,27.62,27.65,26.92,27.08,39537298,FB
2013-03-14,27.1,27.43,26.83,27.04,27618325,FB
2013-03-15,27.03,27.06,26.56,26.645,31561265,FB
2013-03-18,26.37,26.79,25.78,26.49,26627806,FB
2013-03-19,26.53,26.9,26.21,26.55,25229042,FB
2013-03-20,26.68,26.69,25.78,25.86,43942514,FB
2013-03-21,25.66,26.11,25.56,25.74,24304408,FB
2013-03-22,25.796,26.01,25.63,25.73,18423908,FB
2013-03-25,25.75,25.8,25.078,25.131,39161218,FB
2013-03-26,25.08,25.48,25.03,25.205,26939599,FB
2013-03-27,25.0,26.28,24.72,26.09,52258253,FB
2013-03-28,26.09,26.17,25.52,25.58,28572419,FB
2013-04-01,25.63,25.89,25.28,25.53,22213171,FB
2013-04-02,25.77,26.12,25.3,25.42,35124893,FB
2013-04-03,25.83,26.39,25.7,26.25,48128075,FB
2013-04-04,26.62,27.2301,26.11,27.0725,81931310,FB
2013-04-05,26.86,27.8,26.61,27.39,64496186,FB
2013-04-08,27.19,27.2,26.63,26.849,27235677,FB
2013-04-09,26.58,26.89,26.42,26.59,21283261,FB
2013-04-10,27.0099,27.84,26.9,27.57,45896160,FB
2013-04-11,27.48,28.1,27.25,28.0175,33320952,FB
2013-04-12,28.0,28.0,27.24,27.4,28656896,FB
2013-04-15,27.16,27.48,26.36,26.52,30193964,FB
2013-04-16,26.81,27.11,26.4,26.92,27362116,FB
2013-04-17,26.65,27.2,26.39,26.625,26415310,FB
2013-04-18,26.82,26.82,25.15,25.69,39023033,FB
2013-04-19,25.62,25.96,25.33,25.73,20353547,FB
